building_rating_id,building_name,address,city,state,zipcode
2.0,courtyard apartments,524 Chiechi Ave,San Jose,CA,95126
2.0,courtyard apartments,38665 E 11th St,Palmdale,CA,93550
2.0,courtyard apartments,38675 12th St E,Palmdale,CA,93550
2.0,courtyard apartments,800 Main St,Van Meter,IA,50261
2.0,courtyard apartments,10036 Gould St,Riverside,CA,92503
2.0,courtyard apartments,3451 N 37th St,Phoenix,AZ,85018
2.0,courtyard apartments,8421 15th St,Westminster,CA,92683
2.0,courtyard apartments,15025 Saticoy St,Van Nuys,CA,91405
2.0,courtyard apartments,4240 Felton St,San Diego,CA,92104
2.0,courtyard apartments,12231 Chapman Ave,Garden Grove,CA,92840
2.0,courtyard apartments,5905 200th St SW,Lynnwood,WA,98036
2.0,courtyard apartments,105 W 29th St,Vancouver,WA,98660
2.0,courtyard apartments,19606 Van Aken Blvd,Shaker Heights,OH,44122
2.0,courtyard apartments,24050 Silva Ave,Hayward,CA,94544
2.0,courtyard apartments,160 E Montwood Ave,La Habra,CA,90631
2.0,courtyard apartments,1305 Marshall St,Redwood City,CA,94063
2.0,courtyard apartments,132 W 18th St,Merced,CA,95340
2.0,courtyard apartments,445 Acalanes Dr,Sunnyvale,CA,94086
3.0,courtyard apartments,7005 W 120th Ave,Broomfield,CO,80020
2.0,courtyard apartments,250 NE 13th St,Homestead,FL,33030
3.0,courtyard apartments,14101 E 14th St,San Leandro,CA,94578
3.0,courtyard apartments,1270 Melton Dr,Yuba City,CA,95991
2.0,courtyard apartments,1946 Country Club Blvd,Stockton,CA,95204
3.0,courtyard apartments,2012 W Ash St,Columbia,MO,65203
2.0,courtyard apartments,1031 N Sumner St,Pampa,TX,79065
2.0,courtyard apartments,1988 Davis Dr,Belvidere,IL,61008
2.0,courtyard apartments,1600 E 15th St,Plano,TX,75074
2.0,courtyard apartments,900 W 3rd St,Little Rock,AR,72201
2.0,courtyard apartments,703 Orange St,Wilmington,DE,19801
2.0,courtyard apartments,1740 N 5th,Pasco,WA,99301
2.0,courtyard apartments,2215 Highway 9 WEST,Seminole,OK,74868
2.0,courtyard apartments,8101 Marble Ave NE,Albuquerque,NM,87110
3.0,courtyard apartments,1900 S Green St,Longview,TX,75602
2.0,courtyard apartments,2700 SE Stark St,Portland,OR,97214
2.0,courtyard apartments,402 Garner Rd,Pasadena,TX,77502
2.0,courtyard apartments,10267 Mast Blvd,Santee,CA,92071
2.0,courtyard apartments,215 E Ash St,Brea,CA,92821
2.0,courtyard apartments,3732 NW 23rd St,Oklahoma City,OK,73107
2.0,courtyard apartments,2800 W 24th St,Plainview,TX,79072
3.0,courtyard apartments,2051 W Alexis Rd,Toledo,OH,43613
2.0,courtyard apartments,1333 Miller Ave,Burley,ID,83318
2.0,courtyard apartments,1000 Salisbury St,Kernersville,NC,27284
2.0,courtyard apartments,102 N Franklin St,Madison,WI,53703
3.0,courtyard apartments,2060 N Trekell Rd,Casa Grande,AZ,85122
2.0,courtyard apartments,3210 Pleasant Valley Rd,Mobile,AL,36606
2.0,courtyard apartments,773 NE 9th St,Crystal River,FL,34428
3.0,courtyard apartments,833 Shoshone St N,Twin Falls,ID,83301
2.0,courtyard apartments,3900 45th St,Kenosha,WI,53144
2.0,courtyard apartments,20 Macdougall St,Auburn,NY,13021
2.0,courtyard apartments,5635 Purdue Ave,Baltimore,MD,21239
2.0,courtyard apartments,5600 Marconi Ave,Carmichael,CA,95608
2.0,courtyard apartments,14005 Kornblum Ave,Hawthorne,CA,90250
2.0,courtyard apartments,1008 Sage St,Grants,NM,87020
2.0,courtyard apartments,4701  Fort Ave,Waco,TX,76710
3.0,courtyard apartments,131 Commerce Pl,Geneva,OH,44041
